feature,gain
has_multiple_importes,983.9517211914062
indent,452.1883239746094
has_id_documento,416.8498229980469
next_has_importes,416.4283447265625
has_fecha,357.312255859375
importe_count,351.5465393066406
upper_ratio,331.4468688964844
column_gaps,315.8224182128906
length,251.66000366210938
has_importe,247.86802673339844
digit_ratio,236.3092803955078
letter_ratio,133.08047485351562
space_ratio,80.87174987792969
has_referencia,60.109153747558594
has_ejercicio,23.93804931640625
has_periodo,14.85882568359375
header_weak_kw,1.4640752077102661
